"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.834893357,0.887402023,0.887402023,0.834893357,0.887402023,0.887402023,0.91102516,1
0.966708671,1,1,0.966708671,1,1,0.77054193,0.966708671
0.952328883,0.961635112,1,0.952328883,0.961635112,1,0.771864888,0.961635112
1,1,1,1,1,1,0.796776601,1.076373418
1,1,1,1,1,1,0.567541573,0.8815043
1,1,1,1,1,1,0.820141657,1
0.999139257,0.999139257,1,0.999139257,0.999139257,1,1.093957941,0.999139257
1,1,1,1,1,1,0.796571315,0.990253537
1,1,1,1,0.911351235,0.94925842,0.685271946,1.010857257
1,1,1,1,1,1,0.504377196,0.946164855
1,1,1,1,1,1,0.998040194,1
1,1,1,1,1,1,0.827928247,1
1,1,1,1,1,1,0.784189283,0.979669344
1,1,1,1,1,1,0.983643911,1
1,1,1,1,1,1,0.964317392,0.964317392
1,1,1,0.918905199,0.950307591,0.950307591,0.665564803,0.966322528
1,1,1,1,1,1,0.837178204,1.001153672
1,1,1,1,1,1,0.432137473,0.973080196
1,1,1,1,1,1,0.870769358,1
0.789108701,1,1,0.789108701,1,1,1,1
0.77773827,1,1,0.77773827,1,1,0.62372432,0.77773827
0.908629551,1,1,0.908629551,1,1,0.785810553,1
0.96170217,0.993075888,0.993075888,0.96170217,0.993075888,0.993075888,0.958655808,1.031373718
1,1,1,1,1,1,0.862412339,0.969774292
0.912430531,1,1,0.912430531,1,1,0.734284819,1
1,1,1,1,1,1,0.61356739,1
0.924677385,1,1,0.924677385,0.959537696,1,1,1
1,1,1,1,0.992806088,1,0.71075427,1
0.960177897,0.960177897,1,0.960177897,0.960177897,1,0.693018476,1.032504576
1,1,1,1,1,1,0.654407424,0.997010905
1,1,1,1,1,1,0.871471034,0.999777165
1,1,1,1,1,1,0.741836631,0.976820578
1,1,1,1,1,1,0.880210035,1
1,1,1,1,0.970990828,1,0.933885571,1
0.834438599,1,1,0.834438599,1,1,0.917738744,1
0.96594207,1,1,0.96594207,1,1,1.143981234,1.161257713
0.991797116,1,1,0.991797116,1,1,0.954499322,1
1,1,1,1,1,1,0.784487426,1.019673079
0.95056772,1,1,0.95056772,1,1,0.848801919,1
0.893811449,1,1,0.893811449,1,1,0.986419674,1
0.929462771,1,1,0.929462771,1,1,0.852475173,1
1,1,1,1,1,1,0.943588338,0.900059802
0.946235695,0.934429579,1,0.944124766,0.934429579,1,0.712186157,0.944124766
1,1,1,0.975240201,1,1,0.94823992,0.975240201
1,1,1,1,0.942357254,1,0.629047572,1
1,1,1,1,1,1,0.866510506,1.028845415
1,1,1,1,0.950217861,1,0.964814064,1.114715111
1,1,1,1,1,1,0.716568908,1
1,1,1,1,1,1,0.717207188,0.946092888
0.952753195,0.966998407,0.966998407,0.952753195,0.966998407,0.952753195,0.854770831,1.215210528
1,1,1,1,1,1,1,1
0.893825411,1,1,0.893825411,1,1,0.690705301,0.95769844
0.845310821,1,0.975157115,0.845310821,1,0.975157115,0.695754764,1
1,1,1,1,1,1,0.810241354,0.984684982
0.785052449,0.958812588,1,0.785052449,0.958812588,1,1.01455699,0.958812588
1,1,1,1,1,1,1,0.986351832
1,1,1,1,1,1,0.899872057,1
1,1,1,1,1,1,0.56001719,0.574268206
0.927278946,0.927278946,1,0.927278946,0.927278946,1,0.762419153,1
1,1,1,1,1,1,1.304133206,1.100187307
1,1,1,0.975853308,1,1,0.844745245,0.853599968
0.950314617,0.950314617,0.950314617,0.950314617,0.950314617,0.950314617,1,0.950314617
0.854503317,1,1,0.854503317,1,1,0.98203321,1
0.901499082,1,1,0.901499082,1,1,0.822637774,1
1,1,1,1,0.969363169,1,1,0.954366254
1,1,1,1,1,1,0.716819318,1
0.831842856,0.999918397,0.999918397,0.831842856,0.999918397,0.999918397,0.819965934,0.99940046
1,1,1,0.983917121,0.983917121,1,0.919770236,1
0.789817352,0.994620348,0.9694909,0.789817352,0.994620348,0.9694909,0.795222611,0
