"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,0.852444587,1.071069883
1,1,1,1,0.949907586,1,0.821050562,1
1,1,1,1,1,1,0.760948691,1
1,1,1,1,1,1,0.815706034,1
1,1,1,0.991204513,0.991204513,1,0.960057441,0.908937489
1,1,1,0.987143027,0.987143027,1,0.923737253,0.94306576
1,1,1,1,1,1,0.952550862,0.96277073
1,0.9782522,1,1,0.9782522,1,0.909430833,0.975005329
1,1,1,0.983856543,0.983856543,1,0.701239223,0.606759503
1,1,1,1,0.992097004,1,0.802858224,0.991972615
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.973683819,1
1,1,1,1,1,1,0.891279949,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.898487656,1
1,1,1,1,1,1,0.978521374,0.978521374
1,0.941762606,1,1,0.941762606,1,0.800550285,1.081975972
1,1,1,1,1,1,0.603512005,0.9915002
1,1,1,1,1,1,0.816437419,0.869354553
1,1,1,1,0.959986805,1,0.837653065,1
1,1,1,1,1,1,0.979637886,1
1,1,1,1,1,1,0.728498799,1.022550394
1,1,1,1,1,1,0.824604879,0.578659777
1,1,1,1,1,1,0.715768571,1
1,1,1,1,1,1,0.787882191,1.020667763
1,1,1,1,1,1,0.966607295,1
1,1,1,1,1,1,0.942727758,1
1,1,1,1,1,1,0.875137272,1
1,1,1,1,1,1,0.912097928,0.985781072
1,1,1,1,1,1,0.635284833,1
1,1,1,1,1,1,0.828926234,1
1,1,1,1,1,1,0.903578187,1.050687098
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.887665375,1
1,1,1,1,1,1,0.970369509,1
1,1,1,0.981366866,1,1,0.927898187,0.866866774
1,1,1,1,0.965218178,1,0.661882956,0.996966403
1,1,1,1,1,1,0.759631752,1
1,1,1,1,1,1,0.936297274,0.922105719
1,1,1,1,1,1,0.793825752,1
1,1,1,1,0.984714399,1,0.803545243,1
1,1,1,1,0.953553237,1,0.901189756,0.713161874
1,1,1,1,1,1,0.923847389,1.075369721
1,1,1,1,0.994119659,1,0.816379331,0.975334686
1,1,1,1,1,1,0.898725512,0.920786124
1,1,1,1,1,1,0.825821051,1.051095554
1,1,1,1,1,1,0.62464174,0
1,1,1,1,1,1,0.775956158,0.644814148
1,1,1,1,1,1,0.586758896,1.048083239
1,1,1,1,1,1,0.749651067,1
1,1,1,1,1,1,0.665800543,0.935469887
1,1,1,0.939772576,0.963800829,1,0.813819753,0.883322924
1,1,1,1,0.964493347,1,0.861350147,0.946282637
1,1,1,1,1,1,0.834318551,0.682445184
1,1,1,1,1,1,0.751488271,1
1,1,1,1,0.994800948,1,0.846750291,1
1,1,1,1,1,1,0.851301871,1
1,0.967218287,1,0.948570819,0.833672165,1,1.002122039,1
1,1,1,0.998407868,0.998407868,1,0.834465676,0.973312829
1,1,1,1,1,1,0.849300503,1
1,1,1,1,1,1,0.960087073,0.973326645
1,1,1,1,0.989706026,1,0.903563511,0.9355697
1,1,1,1,1,1,0.902256763,1
1,1,1,1,1,1,0.759456284,0.98656538
1,1,1,1,1,1,0.976562435,1
1,1,1,1,1,1,0.907034813,0.941128059
1,1,1,1,1,1,0.968534945,1
1,1,1,1,1,1,0.672166423,1
1,0.996972847,1,1,0.954720306,0.996972847,0.812063527,0.93618445
1,1,1,1,0.944850605,1,0.884486286,0.957741555
1,0.963131087,1,1,0.963131087,0.963131087,0.789723126,1
1,1,1,0.958860773,0.89235585,1,0.785298853,0.952274007
1,1,1,1,1,1,0.708549108,0.818097834
1,1,1,1,1,1,0.908416234,0.979799996
1,1,1,1,1,1,0.826798535,0.728634287
1,1,1,1,1,1,0.953134263,0.981011826
1,1,1,0.982399131,1,1,0.738768693,0.966212173
1,1,1,1,0.923667787,1,0.895589328,1.018294156
1,1,1,1,1,1,0.861920557,0.935403864
1,1,1,1,1,1,0.796111973,1
1,1,1,1,0.999925228,1,0.739253557,0.891896359
1,1,1,1,1,1,0.544019707,0.964893013
1,1,1,1,1,1,0.832521873,0.947188914
1,1,1,1,1,1,0.876635579,1.053356392
1,1,1,1,0.940581144,1,0.90347982,0.942243753
1,1,1,1,1,1,0.94161825,1
0.965843092,1,1,0.965843092,1,1,1,1.148739151
1,1,1,0.977866595,1,1,0.708634809,0.98067841
1,1,1,1,1,1,0.857197479,1
1,1,1,0.995917747,1,1,0.937552143,0.995917747
1,1,1,1,1,1,0.896986218,1
1,1,1,0.92440104,0.982715062,1,0.673719782,0.937154472
1,1,1,1,1,1,0.522482482,1
1,1,1,1,1,1,0.706542019,1.017923998
1,1,1,1,1,1,0.938454706,0.984756093
1,1,1,1,1,1,0.715534482,1
1,1,1,1,1,1,0.817319075,1
1,1,1,1,1,1,0.800443876,1
1,1,1,1,1,1,0.703939645,0.86313071
1,1,1,1,0.909545043,1,0.663561482,0.993280468
1,1,1,1,1,1,0.745504533,0.957034247
