B&B-HB-MHV,BestFS-HB-MHV,B&B-HB-MVPWU,BestFS-HB-MVPWU,B&B-HB-MCF,BestFS-HB-MCF,01LP,BoolOpt
0.119122,0.111258,0.043687,0.033493,0.055629,0.045727,0.531533,0.470953
0.106889,0.096404,0.031746,0.022718,0.028252,0.020679,0.415033,0.427848
0.102812,0.095822,0.034659,0.025048,0.030581,0.029999,0.386489,0.410373
0.129607,0.118831,0.097861,0.085046,0.087084,0.060289,0.803561,0.785503
0.128442,0.117665,0.045727,0.03262,0.047474,0.038445,0.632597,0.529203
0.116209,0.107471,0.042814,0.033202,0.044561,0.035824,0.250476,0.237952
0.112714,0.102812,0.043105,0.035241,0.050096,0.043105,0.341638,0.391733
0.124947,0.115917,0.05359,0.043105,0.043979,0.029416,0.381248,0.415032
0.124655,0.116209,0.045144,0.037863,0.044562,0.035533,0.447653,0.504447
0.117957,0.107762,0.045144,0.035824,0.047183,0.041358,0.547552,0.436876
0.099608,0.089414,0.029417,0.021261,0.024465,0.017766,0.38416,0.379791
0.120869,0.109219,0.049803,0.040192,0.04893,0.039028,0.456391,0.39115
0.165139,0.149995,0.113297,0.093783,0.085919,0.078638,0.512602,0.613957
0.133393,0.122035,0.050387,0.03961,0.043105,0.033494,0.341055,0.31426
0.147664,0.138635,0.079512,0.050095,0.053881,0.044853,0.298241,0.270572
0.135141,0.124947,0.04427,0.035823,0.050677,0.028834,0.340763,0.332026
0.180867,0.184362,0.102229,0.084463,0.194556,0.195429,1.114035,1.054037
0.13514,0.122908,0.032038,0.022427,0.043105,0.032037,0.315716,0.600559
0.123491,0.114462,0.052425,0.043979,0.036115,0.022718,0.689682,0.636092
0.128151,0.120286,0.04427,0.032329,0.024757,0.016892,0.367558,0.306104
0.165431,0.158731,0.108927,0.09087,0.174459,0.101938,0.836764,0.755214
0.131936,0.121452,0.038154,0.027669,0.024465,0.01631,0.343093,0.642499
0.137471,0.121451,0.041358,0.030582,0.040192,0.030581,0.319793,0.343676
0.133684,0.122034,0.067279,0.044561,0.042231,0.03262,0.314842,0.561532
0.139509,0.128733,0.04893,0.039028,0.05359,0.040484,0.326201,0.319211
0.139217,0.128441,0.057377,0.046018,0.046309,0.037863,0.35853,0.309599
0.203584,0.196012,0.11184,0.099607,0.17708,0.141839,0.368141,0.346589
0.142131,0.130189,0.041066,0.036115,0.036115,0.039028,0.298533,0.42843
0.157276,0.153198,0.147082,0.117083,0.280475,0.235039,0.869384,0.871714
0.160188,0.137471,0.050386,0.041358,0.06058,0.047765,0.298532,0.285134
0.131354,0.122326,0.04893,0.039319,0.041067,0.047183,0.302901,0.377752
0.138635,0.129606,0.037863,0.029707,0.042231,0.034367,0.271737,0.290668
0.139509,0.126985,0.077472,0.066697,0.0932,0.081842,0.787833,0.555124
0.173585,0.16747,0.106598,0.096695,0.103394,0.091162,0.450857,0.448527
0.135723,0.124946,0.048056,0.041357,0.055046,0.045726,0.308726,0.258048
0.125238,0.116501,0.043688,0.035533,0.053882,0.044561,0.273484,0.260379
0.114461,0.110384,0.057668,0.04893,0.105141,0.077764,0.856278,0.761039
0.131645,0.122034,0.064366,0.049804,0.091162,0.070191,0.454643,0.4028
0.08854,0.082133,0.051843,0.041357,0.047766,0.038445,0.301444,0.297659
0.123781,0.11417,0.050095,0.040193,0.054755,0.043979,0.275814,0.245525
0.124073,0.116209,0.048056,0.040484,0.054172,0.044561,0.271737,0.248146
0.119413,0.113296,0.055046,0.046309,0.062619,0.039028,0.373675,0.369306
0.169508,0.162226,0.0932,0.080385,0.117374,0.107763,0.64046,0.945692
0.130189,0.118539,0.038153,0.028251,0.037863,0.024465,0.34921,0.296784
0.115627,0.105141,0.030872,0.0233,0.064657,0.035241,0.408334,0.414159
0.118248,0.111258,0.040775,0.032329,0.047182,0.041649,0.625024,0.736865
0.135723,0.126112,0.083006,0.061454,0.082424,0.07223,0.808221,0.808804
0.111258,0.100481,0.036115,0.026212,0.029416,0.020387,0.471244,0.542891
0.121743,0.106889,0.031163,0.023009,0.02796,0.019223,0.54027,0.741234
0.128442,0.116209,0.043687,0.032911,0.025048,0.016893,0.573181,0.518427
0.146208,0.138344,0.088832,0.067279,0.0699,0.061163,0.537649,0.520465
0.122908,0.110676,0.02796,0.020096,0.03262,0.024174,0.341346,0.431925
0.131354,0.119705,0.028252,0.020388,0.030873,0.022136,0.31892,0.426682
0.152616,0.143587,0.072813,0.059998,0.079512,0.068444,0.255427,0.239991
0.133684,0.129024,0.047183,0.037863,0.066114,0.039901,0.308435,0.303775
0.136597,0.129898,0.067861,0.051261,0.047765,0.038445,0.512893,0.451439
0.124364,0.116792,0.043397,0.035533,0.078929,0.04893,0.308435,0.287756
0.126403,0.118248,0.047474,0.038154,0.045727,0.036406,0.280766,0.279019
0.159897,0.144752,0.064949,0.050969,0.045435,0.032329,0.612501,0.547843
0.147082,0.137179,0.062328,0.051843,0.083297,0.072522,0.462215,0.426391
0.141548,0.121743,0.060289,0.04194,0.052133,0.041649,0.29096,0.254554
0.12116,0.110675,0.060871,0.052425,0.108054,0.077182,0.399014,0.350375
0.142713,0.127568,0.035533,0.029707,0.046017,0.036406,0.609297,0.618326
0.135723,0.127859,0.060289,0.048639,0.071066,0.062327,0.476778,0.471535
0.141548,0.141548,0.057377,0.044853,0.050677,0.040775,0.585705,0.566192
0.118248,0.110384,0.077181,0.068735,0.081551,0.066696,0.446779,0.44474
0.142131,0.128151,0.056211,0.04893,0.048347,0.039902,0.520756,0.641043
0.127567,0.116209,0.039319,0.028252,0.027087,0.01864,0.5193,0.471244
0.127568,0.119121,0.046891,0.045144,0.081842,0.064075,0.507067,0.566775
0.123782,0.115335,0.061454,0.051842,0.066405,0.050096,0.466875,0.463962
0.129024,0.119122,0.050095,0.038153,0.048639,0.038736,0.326783,0.309599
