"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"MISO Uniandes 201411102(17)","0.068734","0.057086","0.212613","0.051843","0.050386","0.204166","0.052425","0.048056","0.19106","0.051551","0.049221","0.204748","0.537939"
"BuurtPensioen(17)","0.103393","0.090869","0.249601","0.085336","0.082715","0.236786","0.085337","0.079803","0.214652","0.085628","0.080968","0.236786","0.629391"
"LscSpecSemantics(17)","0.062327","0.052134","0.209118","0.045435","0.043396","0.197759","0.04427","0.041648","0.189312","0.045435","0.043396","0.199507","0.700165"
"Tienda Virtual PUJ(17)","0.173876","0.152033","0.233873","0.143877","0.126402","0.224554","0.104559","0.099024","0.208535","0.108345","0.105142","0.223097","0.617159"
"SysML Model(17)","0.087667","0.087084","0.182905","0.077764","0.080676","0.178827","0.064366","0.062327","0.164847","0.065823","0.064949","0.201836","1.289947"
"Master(17)","0.084753","0.071065","0.233291","0.071065","0.062328","0.244067","0.067862","0.060289","0.21902","0.07456","0.068153","0.240281","0.560366"
"PPU(17)","0.080677","0.097277","0.242028","0.064949","0.06524","0.236204","0.064366","0.063784","0.20504","0.053881","0.063201","0.215816","0.648323"
"Urna-EMF(17)","0.070482","0.120578","0.215816","0.055629","0.109801","0.207661","0.064657","0.068153","0.194846","0.055046","0.069027","0.216399","1.168204"
"MobiLine(17)","0.094656","0.085045","0.185526","0.076016","0.076599","0.177372","0.075725","0.073104","0.159605","0.078637","0.079219","0.183196","0.94598"
"Hastane Randevu Sistemi(17)","0.180866","0.209409","0.261543","0.138635","0.124946","0.268824","0.077181","0.072813","0.174459","0.064949","0.075143","0.187273","0.645119"
"Graph Product Line(17)","0.122617","0.053881","0.235039","0.082133","0.046017","0.225719","0.085045","0.036989","0.201545","0.072522","0.038736","0.228923","0.576966"
"Monitor_Engine_System(17)","0.035533","0.02796","0.061162","0.028834","0.057958","0.059124","0.027087","0.021552","0.050678","0.025922","0.0233","0.055046","0.239117"
"Stack PL(17)","0.052426","0.050677","0.122908","0.051843","0.043104","0.142422","0.040775","0.039609","0.093491","0.042522","0.045143","0.115335","0.158148"
"Project Portal Suite(18)","0.212321","0.186109","0.37979","0.182905","0.1631","0.367267","0.16543","0.15145","0.335812","0.173876","0.166304","0.409207","0.696961"
"Car Software System(18)","0.0932","0.068444","0.285426","0.074851","0.059998","0.27028","0.062328","0.059706","0.257174","0.074268","0.059124","0.270863","0.95297"
"IDE4OCL(18)","0.13048","0.139217","0.223097","0.103977","0.101356","0.212612","0.101355","0.094365","0.185526","0.103103","0.101064","0.211448","0.69434"
"Software Engineering Course(18)","0.059706","0.053299","0.124656","0.045727","0.044852","0.113297","0.046017","0.04427","0.10951","0.045435","0.044852","0.125819","0.930835"
"ISPW-6(18)","0.069318","0.071065","0.162518","0.056794","0.063492","0.153488","0.056211","0.061454","0.149703","0.056211","0.063493","0.153488","0.953261"
"Editor de imagem(18)","0.067861","0.059415","0.248145","0.054173","0.05126","0.235621","0.053008","0.048931","0.220185","0.05359","0.051551","0.237078","0.663759"
"Requirements Proces Variability(18)","0.066697","0.059123","0.179701","0.052425","0.050386","0.168051","0.053008","0.049512","0.162808","0.053008","0.050969","0.168925","0.917729"
"OnlineExamPL(18)","0.049221","0.042522","0.146498","0.037862","0.03495","0.14912","0.039901","0.03495","0.138052","0.034076","0.033202","0.126985","0.715018"
"dfffffffffff(18)","0.115626","0.092618","0.267659","0.100481","0.085627","0.262126","0.099608","0.082132","0.244359","0.100772","0.085627","0.258922","0.897924"
"Mobile media v6(18)","0.065531","0.058832","0.155527","0.066113","0.054463","0.158149","0.05592","0.052425","0.149993","0.054464","0.054173","0.157567","0.731911"
"myHolidays(18)","0.120286","0.164848","0.189313","0.106889","0.147955","0.193099","0.083298","0.089705","0.183196","0.087084","0.094948","0.197176","0.769482"
"myHolidays(18)","0.092909","0.073396","0.217564","0.092035","0.075725","0.202419","0.083298","0.069026","0.182614","0.084463","0.071647","0.19339","0.856566"
"ComputationalThinking(18)","0.054755","0.064367","0.156402","0.028252","0.055338","0.145916","0.028834","0.055047","0.14213","0.026795","0.055338","0.144751","1.187717"
